 src dst cap bandwidth
296 126 86 10240 13.72232
297 19 86 10240 110.11616
298 15 86 10240 4.0964
299 121 77 10240 165.49688
300 27 77 10240 57.42744
301 28 108 10240 81.08042667
302 103 108 10240 14.34482667
303 127 23 10240 35.54101333
304 117 23 20480 307.1091733
305 105 23 20480 549.39136
306 118 23 10240 7.36288
307 115 135 10240 236.3546133
308 66 135 20480 56.47752
309 146 135 10240 3.89424
310 102 110 10240 58.31826667
311 14 72 20480 45.07608
312 121 72 20480 29.38512
313 121 72 20480 45.67992
314 138 5 11264 156.3338667
315 138 5 11264 156.3338667
316 56 5 10240 183.75392
317 11 5 10240 4.29381333
318 87 126 10240 82.07477333
319 15 126 10240 3.85168
320 138 54 20480 10.49104
321 138 54 20480 7.7892
322 11 54 1024 50.92008
323 87 14 10240 95.37285333
324 31 14 10240 3.59632
325 141 13 10240 136.09488
326 67 13 10240 67.64952
327 56 13 20480 50.67261333
328 22 98 10240 9.69698666
329 19 134 20480 156.4812
330 69 134 10240 3.39416
331 48 85 20480 211.48472
332 6 85 20480 1084.197893
333 7 85 10240 200.8987733
334 109 85 1024 387.4401067
335 29 85 1024 10.99722667
336 107 16 10240 18.65973333
337 136 16 10240 63.27389333
338 45 132 10240 21.63901333
339 90 38 20480 85.51541333
340 137 38 20480 64.57602667
341 21 38 10240 43.84218667
342 95 20 1024 478.8272267
343 111 20 10240 696.03064
344 68 95 1024 325.7933333
345 30 19 10240 297.7105067
346 15 19 10240 3.85909333
347 122 24 10240 146.0840267
348 60 24 20480 107.2241333
349 64 24 20480 243.41104
350 66 24 10240 6.42626666
351 94 75 10240 98.24085333
352 119 75 10240 7.13944
353 104 115 10240 44.51698667
354 116 115 20480 249.8141067
355 51 115 10240 18.29666667
356 22 107 10240 14.34304
357 113 39 10240 47.36264
358 93 39 20480 28.60858667
359 93 39 20480 43.48530667
360 0 70 10240 351.7197867
361 101 70 10240 39.44488
362 88 70 10240 166.5711733
363 131 70 10240 7.16906666
364 63 139 20480 33.91133333
365 111 139 20480 450.41872
366 29 139 20480 10.66722667
367 12 49 10240 87.71733333
368 59 49 10240 216.8362667
369 32 49 10240 110.84304
370 43 49 10240 6.92696
371 100 61 10240 160.5606133
372 79 61 20480 75.28045333
373 79 61 20480 61.27429333
374 36 26 10240 33.6916
375 117 26 10240 55.004
376 50 26 10240 76.72602667
377 4 52 10240 96.75677333
378 34 52 10240 3.41544
379 62 52 10240 3.5112
380 90 30 20480 284.3961333
381 111 30 30720 990.9570667
382 87 30 10240 57.4532
383 21 30 30720 121.5089333
384 15 30 10240 3.58568
385 9 92 10240 188.6320533
386 94 92 10240 6.37797333
387 143 127 40960 89.9568
388 118 127 40960 7.92592
389 73 96 20480 54.81429333
390 29 96 10240 294.48208
391 44 96 10240 15.46213333
392 76 104 20480 60.83656
393 116 104 10240 194.51384
394 51 104 10240 81.91930667
395 79 104 10240 100.9454933
396 117 36 20480 3.69130666
397 118 36 20480 23.47394667
398 141 55 10240 118.57872
399 112 55 10240 123.12768
400 11 55 10240 49.76461333
401 65 142 20480 64.22653333
402 78 142 10240 38.49653333
403 56 142 20480 106.57624
404 71 2 10240 164.6245067
405 114 2 10240 29.62517333
406 42 2 10240 3.70274666
407 82 4 10240 97.32968
408 47 4 10240 247.19352
409 62 4 10240 6.54546666
410 89 74 10240 382.01488
411 83 74 10240 22.44925333
412 41 74 20480 274.61688
413 41 74 20480 6.69730666
414 46 113 10240 116.9010667
415 83 113 10240 66.05744
416 68 113 10240 36.02274667
417 143 106 40960 98.41706667
418 97 106 40960 150.85608
419 131 106 10240 3.52733333
420 47 40 21504 25.2028
421 47 40 21504 25.2028
422 124 40 21504 205.0594667
423 124 40 21504 205.0594667
424 128 40 20480 3.45488
425 111 63 10240 359.38448
426 60 63 20480 10.93664
427 37 93 10240 249.8640533
428 68 93 20480 160.07544
429 43 93 20480 10.92634667
430 73 48 20480 131.7789067
431 7 48 20480 17.26656
432 111 0 51200 520.2327733
433 6 0 51200 939.80384
434 3 0 20480 597.2098133
435 105 0 40960 84.99624
436 73 130 2048 80.244
437 109 130 20480 132.5592
438 109 130 20480 132.5592
439 120 130 20480 11.26997333
440 120 130 20480 0.35112
441 88 28 10240 16.83624
442 53 28 10240 52.71021333
443 140 9 10240 21.85922667
444 25 9 10240 17.33496
445 140 94 10240 45.43608
446 119 94 10240 35.19378667
447 122 65 10240 21.98744
448 67 65 20480 31.956
449 78 65 10240 60.65173333
450 25 140 10240 31.7184
451 27 140 10240 62.27298667
452 146 141 10240 123.8544533
453 58 141 10240 14.19376
454 46 89 10240 513.1134667
455 35 89 20480 214.14512
456 129 89 20480 433.5845333
457 68 89 30720 39.87589333
458 103 1 10240 26.76218667
459 88 1 10240 50.36194667
460 137 25 20480 195.34808
461 27 25 20480 73.98125333
462 34 82 10240 73.98125333
463 91 82 11264 73.98125333
464 91 82 11264 73.98125333
465 111 57 20480 61.62189333
466 6 57 10240 48.48138667
467 125 102 10240 216.2335467
468 45 102 10240 8.12621333
469 69 90 10240 6.88408
470 3 143 20480 61.80965333
471 37 46 20480 540.0639467
472 111 46 20480 351.1499733
473 68 46 20480 71.23522667
474 6 37 20480 621.2134933
475 12 37 10240 225.9844267
476 59 37 20480 50.03693333
477 66 67 20480 26.48285333
478 29 73 10240 49.3736
479 12 35 20480 288.8684
480 80 35 10240 79.70394667
481 100 35 20480 89.28229333
482 129 71 10240 287.1282933
483 112 71 10240 17.23933333
484 6 111 102400 1798.059093
485 68 111 102400 1032.098053
486 116 111 112640 899.0855467
487 116 111 112640 899.0855467
488 119 111 20480 26.76685333
489 59 6 102400 2449.653333
490 97 6 61440 503.52752
491 64 6 20480 282.0602933
492 56 6 102400 1345.39048
493 123 6 1024 3.46864
494 27 6 30720 38.50770667
495 45 144 11264 44.37704
496 45 144 11264 44.37704
497 124 144 1024 113.03064
498 128 144 20480 67.12834667
499 99 144 30720 57.07754667
500 99 125 10240 51.35565333
501 97 78 10240 50.40866667
502 131 3 20480 4.18322666
503 88 101 10240 3.60696
504 97 101 20480 60.16194667
505 53 101 10240 18.03469333
506 131 101 20480 14.33677333
507 121 103 10240 46.1108
508 145 45 20480 7.44237333
509 99 45 10240 58.10205333
510 91 47 11264 24.86738667
511 91 47 11264 63.27162667
512 124 47 1024 474.58712
513 62 47 20480 4.08789333
514 42 129 10240 55.58597333
515 80 129 10240 55.58597333
516 59 12 20480 32.4956
517 17 41 10240 17.71168
518 116 76 10240 73.23490667
519 21 137 10240 26.88528
520 114 112 10240 42.95378667
521 58 112 10240 34.60642667
522 15 69 10240 11.254
523 118 50 10240 11.75869333
524 8 33 10240 39.69517333
525 43 33 20480 42.28064
526 43 33 20480 10.6644
527 99 33 10240 32.73928
528 51 7 20480 3.26648
529 59 68 61440 614.0946933
530 124 68 102400 66.36258667
531 133 59 1024 66.36258667
532 99 59 102400 92.01141333
533 8 32 10240 29.38173333
534 62 145 20480 3.82858666
535 120 109 10240 41.48045333
536 66 60 10240 4.3624
537 31 21 10240 62.58709333
538 27 21 30720 64.91925333
539 53 97 10240 7.79826666
540 119 53 10240 42.07450667
541 119 64 10240 11.2452
542 124 8 11264 21.85114667
543 124 8 11264 91.76765333
544 11 56 10240 17.10616
545 51 116 10240 25.93674667
546 146 116 20480 32.15053333
547 62 128 10240 18.10970667
548 44 29 10240 3.89424
549 11 136 10240 75.47421333
550 146 66 10240 12.09589333
551 22 17 10240 56.78210667
552 133 123 1024 56.78210667
553 58 146 10240 92.74530667
554 120 44 10240 21.02626667
555 58 79 10240 27.89777148
